 location ,cause,year,death
African Region,Late maternal deaths,2008,393021.4053
African Region,Other maternal disorders,2008,730222.9403
Region of the Americas,Maternal hemorrhage,2008,145648.2322
Western Pacific Region,Maternal hemorrhage,2007,203291.7752
Western Pacific Region,Maternal sepsis and other maternal infections,2007,44668.17282
Western Pacific Region,Maternal hypertensive disorders,2007,98939.15005
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2006,1894.879458
Western Pacific Region,Maternal abortion and miscarriage,2007,47883.52734
South-East Asia Region,Maternal hemorrhage,2006,2556957.844
South-East Asia Region,Maternal sepsis and other maternal infections,2006,608231.5452
South-East Asia Region,Maternal hypertensive disorders,2006,798160.3312
South-East Asia Region,Maternal obstructed labor and uterine rupture,2006,283971.4072
South-East Asia Region,Ectopic pregnancy,2006,130502.7188
South-East Asia Region,Indirect maternal deaths,2006,506112.9962
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2007,1331.150668
African Region,Maternal deaths aggravated by HIV/AIDS,2006,113415.8664
Western Pacific Region,Maternal obstructed labor and uterine rupture,2007,33197.27321
Western Pacific Region,Ectopic pregnancy,2007,17428.70872
Western Pacific Region,Indirect maternal deaths,2007,116530.6828
Western Pacific Region,Late maternal deaths,2007,7196.918825
Western Pacific Region,Other maternal disorders,2007,111362.6692
African Region,Maternal hemorrhage,2006,1169530.789
African Region,Maternal sepsis and other maternal infections,2006,952011.9042
African Region,Maternal hypertensive disorders,2006,723429.6031
African Region,Maternal obstructed labor and uterine rupture,2006,360271.788
African Region,Ectopic pregnancy,2006,217317.8203
Eastern Mediterranean Region,Maternal abortion and miscarriage,2007,244544.6522
Region of the Americas,Indirect maternal deaths,2008,94905.59873
Region of the Americas,Late maternal deaths,2008,44917.58992
Region of the Americas,Other maternal disorders,2008,114693.1873
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2008,1940.095231
Region of the Americas,Maternal sepsis and other maternal infections,2008,71079.07913
Region of the Americas,Maternal hypertensive disorders,2008,155456.7141
Region of the Americas,Maternal obstructed labor and uterine rupture,2008,15938.42291
Region of the Americas,Ectopic pregnancy,2008,14190.62051
South-East Asia Region,Maternal abortion and miscarriage,2006,545142.2866
Western Pacific Region,Maternal hemorrhage,2006,221513.3696
Western Pacific Region,Maternal sepsis and other maternal infections,2006,48334.17531
Western Pacific Region,Maternal hypertensive disorders,2006,104519.614
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2006,4258.736173
South-East Asia Region,Maternal hemorrhage,2008,2296212.943
South-East Asia Region,Maternal sepsis and other maternal infections,2008,498834.7186
South-East Asia Region,Maternal hypertensive disorders,2008,704212.1572
South-East Asia Region,Maternal obstructed labor and uterine rupture,2008,284741.7998
South-East Asia Region,Ectopic pregnancy,2008,122420.8138
European Region,Maternal hemorrhage,2006,39134.2712
European Region,Maternal sepsis and other maternal infections,2006,15166.71647
European Region,Maternal hypertensive disorders,2006,29461.84925
European Region,Maternal obstructed labor and uterine rupture,2006,7832.725977
European Region,Ectopic pregnancy,2006,3473.135314
European Region,Indirect maternal deaths,2006,12138.68314
European Region,Late maternal deaths,2006,3973.694847
European Region,Other maternal disorders,2006,45295.95626
South-East Asia Region,Indirect maternal deaths,2008,512583.2594
South-East Asia Region,Maternal abortion and miscarriage,2008,432002.5026
Region of the Americas,Maternal abortion and miscarriage,2008,85687.64252
African Region,Maternal hemorrhage,2007,1187129.497
African Region,Maternal sepsis and other maternal infections,2007,950209.9776
African Region,Maternal hypertensive disorders,2007,734698.3724
African Region,Maternal obstructed labor and uterine rupture,2007,373762.9208
African Region,Ectopic pregnancy,2007,209631.845
European Region,Maternal hemorrhage,2008,37603.95054
European Region,Maternal sepsis and other maternal infections,2008,14356.84948
European Region,Maternal hypertensive disorders,2008,28053.06856
European Region,Maternal obstructed labor and uterine rupture,2008,7836.239777
European Region,Ectopic pregnancy,2008,3218.464037
European Region,Indirect maternal deaths,2008,12771.17826
European Region,Late maternal deaths,2008,3812.989458
European Region,Other maternal disorders,2008,46993.37163
European Region,Maternal abortion and miscarriage,2006,14025.00485
Eastern Mediterranean Region,Maternal hemorrhage,2006,588260.7829
African Region,Indirect maternal deaths,2007,358197.4716
African Region,Late maternal deaths,2007,387830.4848
African Region,Other maternal disorders,2007,717255.4663
South-East Asia Region,Late maternal deaths,2008,211467.7343
South-East Asia Region,Other maternal disorders,2008,820130.5899
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2006,248415.7584
Eastern Mediterranean Region,Maternal hypertensive disorders,2006,526583.3644
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2006,89002.45279
Eastern Mediterranean Region,Ectopic pregnancy,2006,33514.07004
Eastern Mediterranean Region,Indirect maternal deaths,2006,149255.0727
Eastern Mediterranean Region,Late maternal deaths,2006,75752.75176
Eastern Mediterranean Region,Other maternal disorders,2006,195548.9684
Western Pacific Region,Maternal abortion and miscarriage,2006,52984.28845
European Region,Maternal deaths aggravated by HIV/AIDS,2006,54.21312598
Region of the Americas,Maternal hemorrhage,2007,148623.8266
Eastern Mediterranean Region,Maternal abortion and miscarriage,2006,252924.4541
European Region,Maternal abortion and miscarriage,2008,12295.69644
Western Pacific Region,Maternal obstructed labor and uterine rupture,2006,35509.68172
African Region,Maternal abortion and miscarriage,2007,1193766.266
Eastern Mediterranean Region,Maternal hemorrhage,2008,574455.3848
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2008,239190.2731
Eastern Mediterranean Region,Maternal hypertensive disorders,2008,533925.9322
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2008,90376.71072
Eastern Mediterranean Region,Ectopic pregnancy,2008,34334.96419
Eastern Mediterranean Region,Indirect maternal deaths,2008,155637.3321
Eastern Mediterranean Region,Late maternal deaths,2008,78285.56677
Eastern Mediterranean Region,Other maternal disorders,2008,202841.4026
Western Pacific Region,Ectopic pregnancy,2006,18600.88273
Western Pacific Region,Indirect maternal deaths,2006,125371.6886
Western Pacific Region,Late maternal deaths,2006,7513.612599
Western Pacific Region,Other maternal disorders,2006,116148.8297
Region of the Americas,Maternal sepsis and other maternal infections,2007,71740.42242
Region of the Americas,Maternal hypertensive disorders,2007,157004.673
Region of the Americas,Maternal obstructed labor and uterine rupture,2007,16014.32784
Region of the Americas,Ectopic pregnancy,2007,13947.63375
Region of the Americas,Indirect maternal deaths,2007,92375.46096
Region of the Americas,Late maternal deaths,2007,42144.47847
Region of the Americas,Other maternal disorders,2007,112324.7493
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2008,3687.865351
Eastern Mediterranean Region,Maternal abortion and miscarriage,2008,237694.0687
Western Pacific Region,Maternal obstructed labor and uterine rupture,2008,31629.69053
Western Pacific Region,Ectopic pregnancy,2008,16780.43809
Western Pacific Region,Indirect maternal deaths,2008,111768.4592
Western Pacific Region,Late maternal deaths,2008,7074.135116
Western Pacific Region,Other maternal disorders,2008,109171.1734
European Region,Maternal deaths aggravated by HIV/AIDS,2008,64.74287349
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2006,1324.384409
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2008,1324.912606
African Region,Maternal deaths aggravated by HIV/AIDS,2007,110945.136
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2008,547.3312012
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2006,584.455249
Western Pacific Region,Maternal hemorrhage,2008,191238.8557
Western Pacific Region,Maternal sepsis and other maternal infections,2008,42002.32458
Western Pacific Region,Maternal hypertensive disorders,2008,96276.96682
African Region,Maternal hemorrhage,2009,1186620.137
African Region,Maternal sepsis and other maternal infections,2009,936441.571
African Region,Maternal hypertensive disorders,2009,743189.3702
African Region,Maternal obstructed labor and uterine rupture,2009,399026.8446
African Region,Ectopic pregnancy,2009,216565.9265
African Region,Indirect maternal deaths,2009,381603.0361
African Region,Late maternal deaths,2009,403389.7789
African Region,Other maternal disorders,2009,746950.1981
African Region,Maternal abortion and miscarriage,2009,1132968.47
Region of the Americas,Maternal sepsis and other maternal infections,2009,72648.51617
Region of the Americas,Maternal hypertensive disorders,2009,162440.9748
Region of the Americas,Maternal obstructed labor and uterine rupture,2009,16709.40813
Region of the Americas,Ectopic pregnancy,2009,13961.43443
African Region,Maternal deaths aggravated by HIV/AIDS,2009,105381.6804
Region of the Americas,Indirect maternal deaths,2009,106579.4674
Region of the Americas,Late maternal deaths,2009,48241.395
Region of the Americas,Other maternal disorders,2009,119683.0309
Region of the Americas,Maternal abortion and miscarriage,2009,83887.56229
South-East Asia Region,Late maternal deaths,2009,205370.2466
South-East Asia Region,Other maternal disorders,2009,800753.2882
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2009,1966.386375
Region of the Americas,Maternal hemorrhage,2009,149093.2362
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2009,3447.294889
South-East Asia Region,Maternal hemorrhage,2009,2183974.052
South-East Asia Region,Maternal sepsis and other maternal infections,2009,450322.1733
South-East Asia Region,Maternal hypertensive disorders,2009,665276.9384
South-East Asia Region,Maternal obstructed labor and uterine rupture,2009,292783.3071
South-East Asia Region,Ectopic pregnancy,2009,119351.6442
European Region,Maternal deaths aggravated by HIV/AIDS,2009,74.77530233
South-East Asia Region,Indirect maternal deaths,2009,532628.3985
South-East Asia Region,Maternal abortion and miscarriage,2009,382921.5123
European Region,Maternal hemorrhage,2009,37632.085
European Region,Maternal sepsis and other maternal infections,2009,14433.36179
European Region,Maternal hypertensive disorders,2009,28482.88184
European Region,Maternal obstructed labor and uterine rupture,2009,7913.252006
European Region,Ectopic pregnancy,2009,3175.79057
European Region,Indirect maternal deaths,2009,13532.78021
European Region,Late maternal deaths,2009,3969.714706
European Region,Other maternal disorders,2009,49334.54591
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2009,1308.834763
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2009,523.057224
Western Pacific Region,Maternal hemorrhage,2009,181581.8427
Western Pacific Region,Maternal sepsis and other maternal infections,2009,39818.53748
Western Pacific Region,Maternal hypertensive disorders,2009,94673.61569
Western Pacific Region,Maternal abortion and miscarriage,2009,40366.33388
European Region,Maternal abortion and miscarriage,2009,12032.17183
Eastern Mediterranean Region,Maternal hemorrhage,2009,568438.1675
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2009,229298.7712
Eastern Mediterranean Region,Maternal hypertensive disorders,2009,536582.2347
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2009,92263.3476
Eastern Mediterranean Region,Ectopic pregnancy,2009,34731.47734
Eastern Mediterranean Region,Indirect maternal deaths,2009,161295.4538
Eastern Mediterranean Region,Late maternal deaths,2009,79462.53828
Eastern Mediterranean Region,Other maternal disorders,2009,205065.6322
Eastern Mediterranean Region,Maternal abortion and miscarriage,2009,223997.4948
Western Pacific Region,Maternal obstructed labor and uterine rupture,2009,30692.32856
Western Pacific Region,Ectopic pregnancy,2009,16332.8837
Western Pacific Region,Indirect maternal deaths,2009,109304.311
Western Pacific Region,Late maternal deaths,2009,7057.686718
Western Pacific Region,Other maternal disorders,2009,108295.2931
Region of the Americas,Maternal hemorrhage,2010,135834.562
South-East Asia Region,Maternal hemorrhage,2010,2125450.39
South-East Asia Region,Maternal sepsis and other maternal infections,2010,409663.454
South-East Asia Region,Maternal hypertensive disorders,2010,634757.1094
South-East Asia Region,Maternal obstructed labor and uterine rupture,2010,308499.7118
South-East Asia Region,Ectopic pregnancy,2010,118242.8206
South-East Asia Region,Indirect maternal deaths,2010,574552.7231
South-East Asia Region,Maternal abortion and miscarriage,2010,340890.7104
European Region,Maternal hemorrhage,2010,35651.74824
European Region,Maternal sepsis and other maternal infections,2010,13543.68119
European Region,Maternal hypertensive disorders,2010,26434.35928
European Region,Maternal obstructed labor and uterine rupture,2010,7701.728768
European Region,Ectopic pregnancy,2010,2840.852943
European Region,Indirect maternal deaths,2010,12398.99044
European Region,Late maternal deaths,2010,3519.127848
European Region,Other maternal disorders,2010,46132.38004
European Region,Maternal abortion and miscarriage,2010,10728.6331
Western Pacific Region,Maternal obstructed labor and uterine rupture,2010,29274.35071
Western Pacific Region,Ectopic pregnancy,2010,15534.01454
Western Pacific Region,Indirect maternal deaths,2010,102892.7551
Western Pacific Region,Late maternal deaths,2010,6820.64542
Western Pacific Region,Other maternal disorders,2010,104434.7968
European Region,Maternal hemorrhage,2012,33028.7297
European Region,Maternal sepsis and other maternal infections,2012,12806.13287
European Region,Maternal hypertensive disorders,2012,24794.64322
European Region,Maternal obstructed labor and uterine rupture,2012,7410.497828
European Region,Ectopic pregnancy,2012,2424.510204
Eastern Mediterranean Region,Maternal hemorrhage,2010,560169.7707
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2010,218139.7177
Eastern Mediterranean Region,Maternal hypertensive disorders,2010,536600.7631
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2010,94853.79586
Eastern Mediterranean Region,Ectopic pregnancy,2010,35034.94281
Eastern Mediterranean Region,Indirect maternal deaths,2010,168065.8722
Eastern Mediterranean Region,Late maternal deaths,2010,80439.83938
Eastern Mediterranean Region,Other maternal disorders,2010,205206.2864
South-East Asia Region,Maternal abortion and miscarriage,2012,260355.2843
Region of the Americas,Maternal sepsis and other maternal infections,2010,68674.80069
Region of the Americas,Maternal hypertensive disorders,2010,149443.3616
Region of the Americas,Maternal obstructed labor and uterine rupture,2010,15797.28167
Region of the Americas,Ectopic pregnancy,2010,13247.48031
European Region,Maternal deaths aggravated by HIV/AIDS,2012,71.59053876
Western Pacific Region,Maternal hemorrhage,2010,171153.56
European Region,Maternal abortion and miscarriage,2012,8997.464953
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2012,2881.069821
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2010,1953.73429
Region of the Americas,Maternal hemorrhage,2011,130416.1
African Region,Maternal abortion and miscarriage,2011,1063724.884
South-East Asia Region,Maternal hemorrhage,2012,1882538.563
African Region,Maternal abortion and miscarriage,2010,1096935.561
Eastern Mediterranean Region,Maternal hemorrhage,2012,532979.799
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2012,199807.7568
Eastern Mediterranean Region,Maternal hypertensive disorders,2012,527805.6323
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2012,101430.5859
Eastern Mediterranean Region,Ectopic pregnancy,2012,35289.41353
Eastern Mediterranean Region,Indirect maternal deaths,2012,178222.669
Eastern Mediterranean Region,Late maternal deaths,2012,81896.1907
Eastern Mediterranean Region,Other maternal disorders,2012,204994.801
African Region,Maternal deaths aggravated by HIV/AIDS,2010,102008.9431
Western Pacific Region,Maternal sepsis and other maternal infections,2010,37784.40351
Western Pacific Region,Maternal hypertensive disorders,2010,91276.84286
South-East Asia Region,Maternal hemorrhage,2011,2023237.186
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2010,506.9687976
African Region,Maternal hemorrhage,2011,1190564.616
Eastern Mediterranean Region,Maternal abortion and miscarriage,2010,207168.6519
Region of the Americas,Maternal sepsis and other maternal infections,2011,66857.18709
Region of the Americas,Maternal hypertensive disorders,2011,144635.1076
Region of the Americas,Maternal obstructed labor and uterine rupture,2011,15651.57389
Region of the Americas,Ectopic pregnancy,2011,13053.14231
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2010,1298.166513
Region of the Americas,Indirect maternal deaths,2011,99358.53584
Region of the Americas,Late maternal deaths,2011,46734.77866
Region of the Americas,Other maternal disorders,2011,109705.164
African Region,Maternal sepsis and other maternal infections,2010,917172.2455
African Region,Maternal hypertensive disorders,2010,744463.9712
African Region,Maternal obstructed labor and uterine rupture,2010,414172.0356
African Region,Ectopic pregnancy,2010,219225.8918
African Region,Indirect maternal deaths,2010,392236.0693
African Region,Late maternal deaths,2010,407935.7661
African Region,Other maternal disorders,2010,761187.0844
African Region,Maternal sepsis and other maternal infections,2011,892592.3071
African Region,Maternal hypertensive disorders,2011,744086.1147
African Region,Maternal obstructed labor and uterine rupture,2011,432610.7119
African Region,Ectopic pregnancy,2011,222540.3659
African Region,Indirect maternal deaths,2011,402042.2767
African Region,Late maternal deaths,2011,413161.7971
African Region,Other maternal disorders,2011,775679.0808
Western Pacific Region,Maternal abortion and miscarriage,2010,37362.09064
South-East Asia Region,Maternal sepsis and other maternal infections,2012,311889.3815
South-East Asia Region,Maternal hypertensive disorders,2012,555216.4646
South-East Asia Region,Maternal obstructed labor and uterine rupture,2012,336015.7973
South-East Asia Region,Ectopic pregnancy,2012,105768.6207
South-East Asia Region,Indirect maternal deaths,2012,602802.7285
African Region,Maternal hemorrhage,2010,1187293.553
European Region,Indirect maternal deaths,2012,11252.55503
European Region,Late maternal deaths,2012,3093.896885
European Region,Other maternal disorders,2012,42568.34247
South-East Asia Region,Late maternal deaths,2012,194302.0762
South-East Asia Region,Other maternal disorders,2012,727697.2085
South-East Asia Region,Late maternal deaths,2011,200058.1429
South-East Asia Region,Other maternal disorders,2011,770885.237
Region of the Americas,Maternal abortion and miscarriage,2011,73508.28925
Eastern Mediterranean Region,Maternal abortion and miscarriage,2012,182954.0482
South-East Asia Region,Maternal sepsis and other maternal infections,2011,363849.5587
South-East Asia Region,Maternal hypertensive disorders,2011,599139.6537
South-East Asia Region,Maternal obstructed labor and uterine rupture,2011,324886.6045
South-East Asia Region,Ectopic pregnancy,2011,113863.3869
South-East Asia Region,Indirect maternal deaths,2011,600410.6426
Region of the Americas,Indirect maternal deaths,2010,99996.70078
Region of the Americas,Late maternal deaths,2010,46356.11556
Region of the Americas,Other maternal disorders,2010,110458.962
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2012,1262.128782
Western Pacific Region,Maternal obstructed labor and uterine rupture,2012,27572.94503
Western Pacific Region,Ectopic pregnancy,2012,14159.34516
Western Pacific Region,Indirect maternal deaths,2012,89349.58195
Western Pacific Region,Late maternal deaths,2012,6409.813469
Western Pacific Region,Other maternal disorders,2012,97829.28249
Region of the Americas,Maternal abortion and miscarriage,2010,76797.42076
European Region,Maternal hemorrhage,2011,34455.07849
European Region,Maternal sepsis and other maternal infections,2011,13377.54997
European Region,Maternal hypertensive disorders,2011,25937.33855
European Region,Maternal obstructed labor and uterine rupture,2011,7598.982017
European Region,Ectopic pregnancy,2011,2645.35315
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2011,3153.261353
South-East Asia Region,Late maternal deaths,2010,204411.0188
South-East Asia Region,Other maternal disorders,2010,794575.8195
South-East Asia Region,Maternal abortion and miscarriage,2011,299726.3452
European Region,Indirect maternal deaths,2011,11965.08356
European Region,Late maternal deaths,2011,3352.426723
European Region,Other maternal disorders,2011,44988.0321
African Region,Maternal deaths aggravated by HIV/AIDS,2011,98209.66627
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2012,452.9684352
Western Pacific Region,Maternal hemorrhage,2011,161316.5104
Western Pacific Region,Maternal sepsis and other maternal infections,2011,35727.93166
Western Pacific Region,Maternal hypertensive disorders,2011,87277.6674
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2010,3324.917675
European Region,Maternal abortion and miscarriage,2011,9940.49613
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2011,1972.251067
Western Pacific Region,Maternal abortion and miscarriage,2011,34348.48827
Eastern Mediterranean Region,Maternal hemorrhage,2011,547690.9115
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2011,208645.8324
Eastern Mediterranean Region,Maternal hypertensive disorders,2011,533599.798
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2011,98248.61202
Eastern Mediterranean Region,Ectopic pregnancy,2011,35253.75261
Eastern Mediterranean Region,Indirect maternal deaths,2011,173221.5294
Eastern Mediterranean Region,Late maternal deaths,2011,81293.96683
Eastern Mediterranean Region,Other maternal disorders,2011,205708.9625
European Region,Maternal deaths aggravated by HIV/AIDS,2011,72.76705606
African Region,Maternal deaths aggravated by HIV/AIDS,2012,94921.51813
European Region,Maternal deaths aggravated by HIV/AIDS,2010,72.33121269
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2011,1283.622734
Region of the Americas,Maternal hemorrhage,2012,129357.8112
Eastern Mediterranean Region,Maternal abortion and miscarriage,2011,195454.0687
African Region,Maternal hemorrhage,2012,1181789.184
African Region,Maternal sepsis and other maternal infections,2012,851196.4538
African Region,Maternal hypertensive disorders,2012,737526.5124
African Region,Maternal obstructed labor and uterine rupture,2012,447377.9022
African Region,Ectopic pregnancy,2012,223905.3305
African Region,Indirect maternal deaths,2012,410510.4074
African Region,Late maternal deaths,2012,412570.9523
African Region,Other maternal disorders,2012,782956.5263
Western Pacific Region,Maternal obstructed labor and uterine rupture,2011,28208.44874
Western Pacific Region,Ectopic pregnancy,2011,14745.28035
Western Pacific Region,Indirect maternal deaths,2011,95822.55976
Western Pacific Region,Late maternal deaths,2011,6576.047446
Western Pacific Region,Other maternal disorders,2011,100725.9084
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2012,1991.591724
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2011,478.0514391
African Region,Maternal abortion and miscarriage,2012,1017745.59
Region of the Americas,Maternal sepsis and other maternal infections,2012,66013.19176
Region of the Americas,Maternal hypertensive disorders,2012,144447.6853
Region of the Americas,Maternal obstructed labor and uterine rupture,2012,15970.44663
Region of the Americas,Ectopic pregnancy,2012,13186.52056
Region of the Americas,Indirect maternal deaths,2012,101413.0824
Region of the Americas,Late maternal deaths,2012,48240.40475
Region of the Americas,Other maternal disorders,2012,112146.4985
Western Pacific Region,Maternal hemorrhage,2012,153513.8819
Region of the Americas,Maternal abortion and miscarriage,2012,71984.22029
Western Pacific Region,Maternal sepsis and other maternal infections,2012,34057.84674
Western Pacific Region,Maternal hypertensive disorders,2012,84147.2408
Western Pacific Region,Maternal abortion and miscarriage,2012,32124.62863
African Region,Maternal hemorrhage,2013,1171666.443
African Region,Maternal sepsis and other maternal infections,2013,810462.9786
African Region,Maternal hypertensive disorders,2013,733124.9608
African Region,Maternal obstructed labor and uterine rupture,2013,459925.8361
African Region,Ectopic pregnancy,2013,225797.2956
African Region,Indirect maternal deaths,2013,417870.4149
African Region,Late maternal deaths,2013,411176.9917
African Region,Other maternal disorders,2013,791388.9972
African Region,Maternal deaths aggravated by HIV/AIDS,2013,92238.67224
African Region,Maternal abortion and miscarriage,2013,981568.7693
Region of the Americas,Maternal sepsis and other maternal infections,2013,66867.40923
Region of the Americas,Maternal hypertensive disorders,2013,149596.1378
Region of the Americas,Maternal obstructed labor and uterine rupture,2013,16736.61129
Region of the Americas,Ectopic pregnancy,2013,13739.17462
Region of the Americas,Indirect maternal deaths,2013,108877.4076
Region of the Americas,Late maternal deaths,2013,50695.35721
Region of the Americas,Other maternal disorders,2013,118175.8943
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2013,2049.445397
Region of the Americas,Maternal abortion and miscarriage,2013,71538.27491
South-East Asia Region,Late maternal deaths,2013,192413.2505
South-East Asia Region,Other maternal disorders,2013,706583.0066
Western Pacific Region,Maternal hemorrhage,2013,148088.8384
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2013,2785.223155
Western Pacific Region,Maternal sepsis and other maternal infections,2013,33062.41334
Western Pacific Region,Maternal hypertensive disorders,2013,82311.68816
European Region,Maternal deaths aggravated by HIV/AIDS,2013,79.30504143
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2013,1251.337146
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2013,445.7098802
Western Pacific Region,Maternal abortion and miscarriage,2013,30872.29457
Region of the Americas,Maternal hemorrhage,2013,132245.7638
South-East Asia Region,Maternal hemorrhage,2013,1793624.569
South-East Asia Region,Maternal sepsis and other maternal infections,2013,276846.7259
South-East Asia Region,Maternal hypertensive disorders,2013,528782.2465
South-East Asia Region,Maternal obstructed labor and uterine rupture,2013,351776.8872
South-East Asia Region,Ectopic pregnancy,2013,102607.3263
South-East Asia Region,Indirect maternal deaths,2013,621649.0466
South-East Asia Region,Maternal abortion and miscarriage,2013,232486.9369
European Region,Maternal hemorrhage,2013,32746.90318
European Region,Maternal sepsis and other maternal infections,2013,12697.88663
European Region,Maternal hypertensive disorders,2013,25007.23123
European Region,Maternal obstructed labor and uterine rupture,2013,7425.911702
European Region,Ectopic pregnancy,2013,2360.96255
European Region,Indirect maternal deaths,2013,11365.42661
European Region,Late maternal deaths,2013,3146.535376
European Region,Other maternal disorders,2013,43078.09296
European Region,Maternal abortion and miscarriage,2013,8653.381155
Eastern Mediterranean Region,Maternal hemorrhage,2013,523653.6097
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2013,194630.357
Eastern Mediterranean Region,Maternal hypertensive disorders,2013,530923.8936
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2013,105017.6948
Eastern Mediterranean Region,Ectopic pregnancy,2013,36056.26219
Eastern Mediterranean Region,Indirect maternal deaths,2013,182675.9596
Eastern Mediterranean Region,Late maternal deaths,2013,83796.2116
Eastern Mediterranean Region,Other maternal disorders,2013,205930.0763
Eastern Mediterranean Region,Maternal abortion and miscarriage,2013,174619.7527
Western Pacific Region,Maternal obstructed labor and uterine rupture,2013,27455.86144
Western Pacific Region,Ectopic pregnancy,2013,13793.91968
Western Pacific Region,Indirect maternal deaths,2013,84662.73707
Western Pacific Region,Late maternal deaths,2013,6277.246171
Western Pacific Region,Other maternal disorders,2013,95737.83997
African Region,Maternal hemorrhage,2014,1160261.457
African Region,Maternal sepsis and other maternal infections,2014,772057.6026
African Region,Maternal hypertensive disorders,2014,729375.2031
African Region,Maternal obstructed labor and uterine rupture,2014,469740.9738
African Region,Ectopic pregnancy,2014,226734.7786
African Region,Indirect maternal deaths,2014,425091.7066
African Region,Late maternal deaths,2014,410238.6323
African Region,Other maternal disorders,2014,796762.9485
Region of the Americas,Maternal sepsis and other maternal infections,2014,66344.5324
Region of the Americas,Maternal hypertensive disorders,2014,148990.5033
Region of the Americas,Maternal obstructed labor and uterine rupture,2014,17089.27848
Region of the Americas,Ectopic pregnancy,2014,13967.28241
Region of the Americas,Indirect maternal deaths,2014,112376.1146
Region of the Americas,Late maternal deaths,2014,51940.66327
Region of the Americas,Other maternal disorders,2014,119000.7535
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2015,1224.599791
South-East Asia Region,Late maternal deaths,2014,181245.4917
South-East Asia Region,Other maternal disorders,2014,650557.9086
Region of the Americas,Maternal abortion and miscarriage,2016,62369.0977
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2016,2046.360738
European Region,Maternal abortion and miscarriage,2014,8310.966864
South-East Asia Region,Late maternal deaths,2016,172511.0799
South-East Asia Region,Other maternal disorders,2016,603295.2659
Eastern Mediterranean Region,Maternal hemorrhage,2014,511828.216
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2014,189347.7239
Eastern Mediterranean Region,Maternal hypertensive disorders,2014,526821.7048
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2014,107911.6892
Eastern Mediterranean Region,Ectopic pregnancy,2014,36571.08999
Eastern Mediterranean Region,Indirect maternal deaths,2014,186504.9056
Eastern Mediterranean Region,Late maternal deaths,2014,85008.32105
Eastern Mediterranean Region,Other maternal disorders,2014,205348.7143
European Region,Indirect maternal deaths,2014,11878.57421
European Region,Late maternal deaths,2014,3240.676325
European Region,Other maternal disorders,2014,43789.52285
South-East Asia Region,Maternal abortion and miscarriage,2016,158892.2208
European Region,Maternal hemorrhage,2016,30530.72738
African Region,Maternal hemorrhage,2016,1131283.14
African Region,Maternal sepsis and other maternal infections,2016,701147.5627
African Region,Maternal hypertensive disorders,2016,717659.212
African Region,Maternal obstructed labor and uterine rupture,2016,488795.1311
